orthologous_group_with_unitary_gene_loss	bdi	unitary_gene_loss_status
8133	relic-retaining	bdi
182	relic-retaining	bdi
3972	relic-retaining	bdi
14700	relic-lacking	bdi
2527	relic-lacking	bdi
9716	relic-lacking	bdi
14348	relic-retaining	bdi
13625	relic-retaining	bdi
4485	relic-retaining	bdi
12350	relic-retaining	bdi
5989	relic-lacking	bdi
9226	relic-lacking	bdi
12080	relic-lacking	bdi
7146	relic-lacking	bdi
201	relic-retaining	bdi
5943	relic-lacking	bdi
12987	relic-lacking	bdi
11630	relic-lacking	bdi
8445	relic-lacking	bdi
12969	relic-retaining	bdi
11429	relic-lacking	bdi
3515	relic-lacking	bdi
12514	relic-lacking	bdi
7242	relic-retaining	bdi
7284	relic-lacking	bdi
1387	relic-lacking	bdi
13538	relic-retaining	bdi
2064	relic-retaining	bdi
10323	relic-lacking	bdi
15382	relic-retaining	bdi
7752	relic-lacking	bdi
10593	relic-lacking	bdi
13565	relic-retaining	bdi
4011	relic-lacking	bdi
6386	relic-retaining	bdi
12645	relic-retaining	bdi
11836	relic-retaining	bdi
7701	relic-retaining	bdi
3379	relic-lacking	bdi
511	relic-retaining	bdi
9148	relic-lacking	bdi
7462	relic-retaining	bdi
6630	relic-lacking	bdi
13870	relic-retaining	bdi
