orthologous_group_with_unitary_gene_loss	osm	unitary_gene_loss_status
1001	relic-retaining	osm
12012	relic-retaining	osm
12430	relic-retaining	osm
578	relic-retaining	osm
8901	relic-lacking	osm
8971	relic-retaining	osm
15637	relic-retaining	osm
2056	relic-retaining	osm
9871	relic-retaining	osm
4661	relic-retaining	osm
14753	relic-retaining	osm
1958	relic-lacking	osm
11109	relic-lacking	osm
15240	relic-retaining	osm
12301	relic-retaining	osm
6264	relic-lacking	osm
5577	relic-lacking	osm
15104	relic-retaining	osm
8182	relic-lacking	osm
12673	relic-lacking	osm
14515	relic-lacking	osm
1263	relic-lacking	osm
14191	relic-lacking	osm
